Player
playerid,name,position,born,height,weight,yearspro,team
328,Shareef Abdur-Rahim,Center,1976-12-11,6-9/2,06,245 lbs./111,1 kg.,11,SAC
329,Arron Afflalo,Guard,1985-10-15,6-5/1,96,215 lbs./97,5  kg.,0,DET
330,Maurice Ager,Guard,1984-2-9,6-5/1,96,202 lbs./91,6  kg.,1,DAL
331,LaMarcus Aldridge,Forward - Center,1985-7-19,6-1/ 2,11,245 lbs./111,1 kg.,1,POR
332,Malik Allen,Forward,1978-6-27,6-1/ 2,08,255 lbs./115,7 kg.,6,NJN
333,Ray Allen,Guard,1975-7-20,6-5/1,96,205 lbs./93,0  kg.,11,BOS
334,Tony Allen,Guard,1982-1-11,6-4/1,93,213 lbs./96,6  kg.,3,BOS
335,Rafer Alston,Guard,1976-7-24,6-2/1,88,175 lbs./79,4  kg.,8,HOU
336,Carmelo Anthony,Forward,1984-5-29,6-8/2,03,230 lbs./104,3 kg.,4,DEN
337,Gilbert Arenas,Guard,1982-1-6,6-4/1,93,215 lbs./97,5  kg.,6,WAS
338,Trevor Ariza,Forward,1985-6-30,6-8/2,03,210 lbs./95,3  kg.,3,ORL
339,Darrell Armstrong,Guard,1968-6-22,6-1/1,85,180 lbs./81,6  kg.,13,NJN
340,Hilton Armstrong,Forward - Center,1984-11-11,6-1/ 2,11,235 lbs./106,6 kg.,1,NOH
341,Carlos Arroyo,Guard,1979-7-30,6-2/1,88,202 lbs./91,6  kg.,6,ORL
342,James Augustine,Forward,1984-2-27,6-1/ 2,08,235 lbs./106,6 kg.,1,ORL
343,Kelenna Azubuike,Forward - Guard,1983-12-16,6-5/1,96,220 lbs./99,8  kg.,1,GSW
344,Renaldo Balkman,Forward,1984-7-14,6-8/2,03,208 lbs./94,3  kg.,1,NYK
345,Marcus Banks,Guard,1981-11-19,6-2/1,88,212 lbs./96,2  kg.,4,PHX
346,Leandro Barbosa,Guard,1982-11-28,6-3/1,91,202 lbs./91,6  kg.,4,PHX
347,Jose Barea,Guard,1984-6-26,6-0/1,83,175 lbs./79,4  kg.,1,DAL
348,Andrea Bargnani,Forward - Center,1985-10-26,7-0/2,13,250 lbs./113,4 kg.,1,TOR
349,Matt Barnes,Forward,1980-3-9,6-7/2,01,226 lbs./102,5 kg.,4,GSW
350,Brent Barry,Guard,1971-12-31,6-7/2,01,210 lbs./95,3  kg.,12,SAS
351,Brandon Bass,Forward,1985-4-30,6-8/2,03,240 lbs./108,9 kg.,2,DAL
352,Shane Battier,Forward,1978-9-9,6-8/2,03,220 lbs./99,8  kg.,6,HOU
353,Marco Belinelli,Guard,1986-3-25,6-5/1,96,192 lbs./87,1  kg.,0,GSW
354,Charlie Bell,Guard,1979-3-12,6-3/1,91,200 lbs./90,7  kg.,3,MIL
355,Raja Bell,Guard,1976-9-19,6-5/1,96,215 lbs./97,5  kg.,7,PHX
356,Andris Biedrins,Center,1986-4-2,6-1/ 2,11,230 lbs./104,3 kg.,3,GSW
357,Chauncey Billups,Guard,1976-9-25,6-3/1,91,202 lbs./91,6  kg.,10,DET
358,Steve Blake,Guard,1980-2-26,6-3/1,91,172 lbs./78,0  kg.,4,POR
359,Andray Blatche,Forward,1986-8-22,6-1/ 2,11,248 lbs./112,5 kg.,2,WAS
360,Mark Blount,Center - Forward,1975-11-30,7-0/2,13,250 lbs./113,4 kg.,7,MIA
361,Keith Bogans,Guard - Forward,1980-5-12,6-5/1,96,215 lbs./97,5  kg.,4,ORL
362,Andrew Bogut,Center,1984-11-28,7-0/2,13,260 lbs./117,9 kg.,2,MIL
363,Matt Bonner,Forward,1980-4-5,6-1/ 2,08,240 lbs./108,9 kg.,3,SAS
364,Josh Boone,Forward,1984-11-21,6-1/ 2,08,237 lbs./107,5 kg.,1,NJN
365,Calvin Booth,Center,1976-5-7,6-1/ 2,11,250 lbs./113,4 kg.,8,PHI
366,Carlos Boozer,Forward - Center,1981-11-20,6-9/2,06,266 lbs./120,7 kg.,5,UTA
367,Chris Bosh,Forward,1984-3-24,6-1/ 2,08,230 lbs./104,3 kg.,4,TOR
368,Bruce Bowen,Forward,1971-6-14,6-7/2,01,200 lbs./90,7  kg.,11,SAS
369,Ryan Bowen,Forward,1975-11-20,6-9/2,06,218 lbs./98,9  kg.,7,NOH
370,Corey Brewer,Guard - Forward,1986-3-5,6-9/2,06,185 lbs./83,9  kg.,0,MIN
371,Ronnie Brewer,Guard - Forward,1985-3-20,6-7/2,01,223 lbs./101,2 kg.,1,UTA
372,Primoz Brezec,Center,1979-10-2,7-1/2,16,255 lbs./115,7 kg.,6,CHA
373,Andre Brown,Forward,1981-5-12,6-9/2,06,245 lbs./111,1 kg.,1,MEM
374,Devin Brown,Guard,1978-12-30,6-5/1,96,210 lbs./95,3  kg.,5,CLE
375,Kwame Brown,Center,1982-3-10,6-1/ 2,11,270 lbs./122,5 kg.,6,LAL
376,Shannon Brown,Guard,1985-11-29,6-4/1,93,211 lbs./95,7  kg.,1,CLE
377,Kobe Bryant,Guard,1978-8-23,6-6/1,98,205 lbs./93,0  kg.,11,LAL
378,Greg Buckner,Guard - Forward,1976-9-16,6-4/1,93,210 lbs./95,3  kg.,8,MIN
