Scores
ScoredsBoard,visiteam,hometeam,score,date
1,TOR,BOS,85-89,07-10-6
2,NYK,PHI,101-92,07-10-8
3,ATL,ORL,94-93,07-10-8
4,MIA,DET,86-103,07-10-8
5,WAS,CLE,81-62,07-10-9
6,CHI,MIL,88-93,07-10-9
7,HOU,NOH,92-94,07-10-9
8,SAS,DAL,67-88,07-10-9
9,LAC,DEN,107-119,07-10-9
10,SEA,SAC,98-104,07-10-9
11,GSW,LAL,111-110,07-10-9
12,NOH,MIN,92-81,07-10-10
13,CHA,ORL,99-123,07-10-10
14,NOH,IND,96-101,07-10-10
15,ATL,MIA,106-100,07-10-10
16,MIL,UTA,90-81,07-10-10
17,LAC,POR,102-111,07-10-10
18,CHA,ATL,104-109,07-10-11
19,DET,CLE,90-96,07-10-11
20,PHX,SAC,110-99,07-10-11
21,NJN,PHI,91-90,07-10-12
22,MIA,ORL,69-102,07-10-12
23,SEA,CLE,96-90,07-10-12
24,UTA,DET,100-85,07-10-12
25,MIN,CHI,92-100,07-10-12
26,POR,DEN,102-118,07-10-12
27,DAL,WAS,86-90,07-10-13
28,MIA,CHA,76-92,07-10-13
29,SEA,IND,87-97,07-10-13
30,UTA,MIL,92-78,07-10-13
31,NOH,PHX,111-106,07-10-13
32,POR,ATL,102-89,07-10-14
33,WAS,PHI,86-80,07-10-14
34,DEN,DET,106-109,07-10-14
35,LAC,GSW,99-89,07-10-14
36,UTA,PHX,101-124,07-10-15
37,NJN,CHA,86-96,07-10-15
38,MIN,MEM,93-101,07-10-15
39,IND,NOH,117-104,07-10-15
40,MIN,ATL,77-103,07-10-16
41,DEN,MIL,104-78,07-10-16
42,WAS,CHI,76-97,07-10-16
43,DAL,SAC,101-99,07-10-16
44,DEN,DET,110-119,07-10-17
45,MEM,IND,115-122,07-10-17
46,NYK,BOS,61-101,07-10-17
47,ORL,CLE,90-86,07-10-17
48,PHI,UTA,93-101,07-10-17
49,NYK,NJN,94-110,07-10-18
50,DAL,HOU,90-104,07-10-18
51,GSW,SAS,111-116,07-10-18
52,SAC,UTA,105-91,07-10-18
53,SEA,LAL,106-126,07-10-18
54,PHX,LAC,118-97,07-10-18
55,ATL,CHA,104-98,07-10-18
56,CHI,TOR,82-92,07-10-19
57,MIN,IND,113-110,07-10-19
58,NJN,BOS,33-36,07-10-19
59,NOH,MIA,92-85,07-10-19
60,DET,DAL,94-122,07-10-19
61,PHX,LAC,103-110,07-10-20
62,PHI,BOS,96-78,07-10-20
63,MIA,MEM,98-104,07-10-20
64,IND,CHI,88-100,07-10-20
65,MIN,MIL,97-106,07-10-20
66,DET,SAS,80-104,07-10-20
67,HOU,SEA,117-94,07-10-20
68,CHA,LAL,93-113,07-10-20
69,CLE,ORL,84-100,07-10-20
70,PHX,CHA,98-88,07-10-21
71,NOH,DAL,97-103,07-10-21
72,POR,SAC,87-111,07-10-21
73,LAC,LAL,112-96,07-10-21
74,WAS,ATL,99-103,07-10-22
75,BOS,NYK,87-94,07-10-22
76,BOS,NJN,71-82,07-10-23
77,SAS,MIA,104-87,07-10-23
78,IND,MIN,106-95,07-10-23
79,MEM,HOU,109-107,07-10-23
80,CHI,DAL,88-96,07-10-23
81,MIL,DEN,102-114,07-10-23
82,UTA,LAL,102-81,07-10-23
83,GSW,SEA,126-122,07-10-23
84,PHI,NYK,90-103,07-10-24
85,WAS,DET,85-104,07-10-24
86,HOU,MEM,90-96,07-10-24
87,ATL,NOH,107-98,07-10-24
88,SEA,POR,107-109,07-10-24
89,SAC,LAC,90-92,07-10-24
90,CLE,TOR,78-111,07-10-25
91,SAS,ORL,90-99,07-10-25
92,PHI,NJN,91-83,07-10-25
93,MIL,CHI,81-97,07-10-25
94,DEN,PHX,113-116,07-10-25
95,WAS,TOR,64-98,07-10-26
96,CHA,NOH,100-111,07-10-26
97,CLE,BOS,89-114,07-10-26
98,NJN,NYK,102-86,07-10-26
99,IND,MEM,140-113,07-10-26
100,MIL,MIN,85-106,07-10-26
