playerid,name,position,born,height,weight,yearspro,team
328,Shareef Abdur-Rahim,Center,1976-12-11,6-9/2_06,245 lbs./111_1 kg.,11,SAC
329,Arron Afflalo,Guard,1985-10-15,6-5/1_96,215 lbs./97_5  kg.,0,DET
330,Maurice Ager,Guard,1984-2-9,6-5/1_96,202 lbs./91_6  kg.,1,DAL
331,LaMarcus Aldridge,Forward - Center,1985-7-19,6-1/ 2_11,245 lbs./111_1 kg.,1,POR
332,Malik Allen,Forward,1978-6-27,6-1/ 2_08,255 lbs./115_7 kg.,6,NJN
333,Ray Allen,Guard,1975-7-20,6-5/1_96,205 lbs./93_0  kg.,11,BOS
334,Tony Allen,Guard,1982-1-11,6-4/1_93,213 lbs./96_6  kg.,3,BOS
335,Rafer Alston,Guard,1976-7-24,6-2/1_88,175 lbs./79_4  kg.,8,HOU
336,Carmelo Anthony,Forward,1984-5-29,6-8/2_03,230 lbs./104_3 kg.,4,DEN
337,Gilbert Arenas,Guard,1982-1-6,6-4/1_93,215 lbs./97_5  kg.,6,WAS
338,Trevor Ariza,Forward,1985-6-30,6-8/2_03,210 lbs./95_3  kg.,3,ORL
339,Darrell Armstrong,Guard,1968-6-22,6-1/1_85,180 lbs./81_6  kg.,13,NJN
340,Hilton Armstrong,Forward - Center,1984-11-11,6-1/ 2_11,235 lbs./106_6 kg.,1,NOH
341,Carlos Arroyo,Guard,1979-7-30,6-2/1_88,202 lbs./91_6  kg.,6,ORL
342,James Augustine,Forward,1984-2-27,6-1/ 2_08,235 lbs./106_6 kg.,1,ORL
343,Kelenna Azubuike,Forward - Guard,1983-12-16,6-5/1_96,220 lbs./99_8  kg.,1,GSW
344,Renaldo Balkman,Forward,1984-7-14,6-8/2_03,208 lbs./94_3  kg.,1,NYK
345,Marcus Banks,Guard,1981-11-19,6-2/1_88,212 lbs./96_2  kg.,4,PHX
346,Leandro Barbosa,Guard,1982-11-28,6-3/1_91,202 lbs./91_6  kg.,4,PHX
347,Jose Barea,Guard,1984-6-26,6-0/1_83,175 lbs./79_4  kg.,1,DAL
348,Andrea Bargnani,Forward - Center,1985-10-26,7-0/2_13,250 lbs./113_4 kg.,1,TOR
349,Matt Barnes,Forward,1980-3-9,6-7/2_01,226 lbs./102_5 kg.,4,GSW
350,Brent Barry,Guard,1971-12-31,6-7/2_01,210 lbs./95_3  kg.,12,SAS
351,Brandon Bass,Forward,1985-4-30,6-8/2_03,240 lbs./108_9 kg.,2,DAL
352,Shane Battier,Forward,1978-9-9,6-8/2_03,220 lbs./99_8  kg.,6,HOU
353,Marco Belinelli,Guard,1986-3-25,6-5/1_96,192 lbs./87_1  kg.,0,GSW
354,Charlie Bell,Guard,1979-3-12,6-3/1_91,200 lbs./90_7  kg.,3,MIL
355,Raja Bell,Guard,1976-9-19,6-5/1_96,215 lbs./97_5  kg.,7,PHX
356,Andris Biedrins,Center,1986-4-2,6-1/ 2_11,230 lbs./104_3 kg.,3,GSW
357,Chauncey Billups,Guard,1976-9-25,6-3/1_91,202 lbs./91_6  kg.,10,DET
358,Steve Blake,Guard,1980-2-26,6-3/1_91,172 lbs./78_0  kg.,4,POR
359,Andray Blatche,Forward,1986-8-22,6-1/ 2_11,248 lbs./112_5 kg.,2,WAS
360,Mark Blount,Center - Forward,1975-11-30,7-0/2_13,250 lbs./113_4 kg.,7,MIA
361,Keith Bogans,Guard - Forward,1980-5-12,6-5/1_96,215 lbs./97_5  kg.,4,ORL
362,Andrew Bogut,Center,1984-11-28,7-0/2_13,260 lbs./117_9 kg.,2,MIL
363,Matt Bonner,Forward,1980-4-5,6-1/ 2_08,240 lbs./108_9 kg.,3,SAS
364,Josh Boone,Forward,1984-11-21,6-1/ 2_08,237 lbs./107_5 kg.,1,NJN
365,Calvin Booth,Center,1976-5-7,6-1/ 2_11,250 lbs./113_4 kg.,8,PHI
366,Carlos Boozer,Forward - Center,1981-11-20,6-9/2_06,266 lbs./120_7 kg.,5,UTA
367,Chris Bosh,Forward,1984-3-24,6-1/ 2_08,230 lbs./104_3 kg.,4,TOR
368,Bruce Bowen,Forward,1971-6-14,6-7/2_01,200 lbs./90_7  kg.,11,SAS
369,Ryan Bowen,Forward,1975-11-20,6-9/2_06,218 lbs./98_9  kg.,7,NOH
370,Corey Brewer,Guard - Forward,1986-3-5,6-9/2_06,185 lbs./83_9  kg.,0,MIN
371,Ronnie Brewer,Guard - Forward,1985-3-20,6-7/2_01,223 lbs./101_2 kg.,1,UTA
372,Primoz Brezec,Center,1979-10-2,7-1/2_16,255 lbs./115_7 kg.,6,CHA
373,Andre Brown,Forward,1981-5-12,6-9/2_06,245 lbs./111_1 kg.,1,MEM
374,Devin Brown,Guard,1978-12-30,6-5/1_96,210 lbs./95_3  kg.,5,CLE
375,Kwame Brown,Center,1982-3-10,6-1/ 2_11,270 lbs./122_5 kg.,6,LAL
376,Shannon Brown,Guard,1985-11-29,6-4/1_93,211 lbs./95_7  kg.,1,CLE
377,Kobe Bryant,Guard,1978-8-23,6-6/1_98,205 lbs./93_0  kg.,11,LAL
378,Greg Buckner,Guard - Forward,1976-9-16,6-4/1_93,210 lbs./95_3  kg.,8,MIN
